_id, Name, District, Category, University, Institution Type, College Type
1, Alagappa Govt. Arts College, Sivagangai, Arts & Science, Alagappa University, Government, Co-Education
2, Alagappa University College of Education, Sivagangai, , Alagappa University,
145, R.V.S. Padhmavathy College of Engineering and Technology, Tiruvallur, , Anna University - Chennai,
146, R.V.S. School of Architecture, Coimbatore, , Anna University - Chennai,
147, Rajalakshmi Engineering College, Kanchipuram, , Anna University - Chennai,
148, Rajalakshmi Institute of Technology, Tiruvallur, , Anna University - Chennai,
149, Rajalakshmi Institute of Technology, Kanchipuram, , Anna University - Chennai,
150, Rajiv Gandhi College of Engineering, Kanchipuram, , Anna University - Chennai,
151, Ranippettai Engineering College, Vellore, , Anna University - Chennai,
152, Renganayagi Varatharaj College of Engineering, Virudhunagar, , Anna University - Chennai,
153, Rrase College of Engineering, Kanchipuram, , Anna University - Chennai,
154, S.A. Engineering College, Chennai, , Anna University - Chennai,
155, S.K.P. Engineering College, Tiruvanamalai, , Anna University - Chennai,
156, S.K.P. Institute of Technology, Tiruvanamalai, , Anna University - Chennai,
157, S.K.R. Engineering College, Chennai, , Anna University - Chennai,
158, S.M.K. Fomra Institute of Technology, Chennai, , Anna University - Chennai,
159, S.R.I. College of Engineering and Technology, Tiruvanamalai, , Anna University - Chennai,
160, S.R.R. Engineering College, Kanchipuram, , Anna University - Chennai,
161, SACS M.A.V.M.M. Engineering College, Madurai, , Anna University - Chennai,
162, Sakthi Engineering College, Tiruvallur, , Anna University - Chennai,
163, Sakthi Mariamman Engineering College, Chennai, , Anna University - Chennai,
164, SAMS College of Engineering and Technology, Tiruvallur, , Anna University - Chennai,
165, Saraswathi Velu College of Engineering, Vellore, , Anna University - Chennai,
165, Saraswathy College of Engineering and Technology, Villupuram, , Anna University - Chennai,
166, Saveetha Engineering College, Kanchipuram, , Anna University - Chennai,
167, Shri Andal Alagar College of Engineering, Kanchipuram, , Anna University - Chennai,
168, Shri Sapthagiri Institute of Technology, Vellore, , Anna University - Chennai,
169, Siva Institute of Frontier Technology - Technical Campus, Tiruvallur, , Anna University - Chennai,
170, Sivaji College of Engineering and Technology, Kanyakumari, , Anna University - Chennai,
171, Sree Krishna College of Engineering, Vellore, , Anna University - Chennai,
172, Sree Sastha College of Engineering, Tiruvallur, , Anna University - Chennai,
173, Sri Aravindar Engineering College, Villupuram, , Anna University - Chennai,
174, Sri Aravindar Engineering College, Villupuram, , Anna University - Chennai,
175, Sri Balaji Chockalingam Engineering College, Tiruvanamalai, , Anna University - Chennai,
176, Sri Jayaram Engineering College, Cuddalore, , Anna University - Chennai,
177, Sri Kalaimagal College of Engineering, Tiruvallur, , Anna University - Chennai,
178, Sri Krishna College of Engineering, Vellore, , Anna University - Chennai,
179, Sri Krishna Engineering College, Chennai, , Anna University - Chennai,
180, Sri Krishna Institute of Technology, Kanchipuram, , Anna University - Chennai,
181, Sri Muthukumaran Institute of Technology, Chennai, , Anna University - Chennai,
182, Sri Nandhanam College of Engineering and Technology, Vellore, , Anna University - Chennai,
183, Sri Padmavathy College of Engineering, Kanchipuram, , Anna University - Chennai,
184, Sri Ram Engineering College, Tiruvallur, , Anna University - Chennai,
185, Sri Ramana Maharishi College of Engineering, Tiruvanamalai, , Anna University - Chennai,
186, Sri Ramanujar Engineering College, Chennai, , Anna University - Chennai,
187, Sri Ranganathar Institute of Engineering and Technology, Coimbatore, , Anna University - Chennai,
188, Sri Rangapoopathi College of Engineering, Villupuram, , Anna University - Chennai,
189, Sri Sai Ram Institute of Technology, Chennai, , Anna University - Chennai,
190, Sri Shanmugha College of Engineering and Technology, Salem, , Anna University - Chennai,
191, Sri Sivasubramaniya Nadar College of Engineering, Chennai, , Anna University - Chennai,
192, Sri Venkateshwara Institute of Engineering, Krishnagiri, , Anna University - Chennai,
193, Sri Venkateswara College of Engineering, Kanchipuram, , Anna University - Chennai,
194, Sri Venkateswara College of Engineering and Technology, Tiruvallur, , Anna University - Chennai,
195, Sri Venkateswara Institute of Science and Technology, Tiruvallur, , Anna University - Chennai,
196, Sri Venkateswaraa College of Technology, Kanchipuram, , Anna University - Chennai,
197, Srinivasa Institute of Engineering and Technology, Chennai, , Anna University - Chennai,
198, SSM Institute of Engineering and Technology, Dindigul, , Anna University - Chennai,
199, St. John's College of Engineering & Technology for Women, Vellore, , Anna University - Chennai,
200, St. Joseph College of Engineering, Kanchipuram, , Anna University - Chennai,
201, St. Joseph's College of Engineering, Kanchipuram, , Anna University - Chennai,
202, St. Joseph's College of Engineering and Technology, Thanjavur, , Anna University - Chennai,
203, St. Michael College of Engineering and Technology, Sivagangai, , Anna University - Chennai,
204, St. Peter's College of Engineering and Technology, Chennai, , Anna University - Chennai,
205, St. Peters Engineering College, Chennai, , Anna University - Chennai,
206, St.Joseph's Institute of Technology, Kanchipuram, , Anna University - Chennai,
207, Suguna College of Engineering, Coimbatore, , Anna University - Chennai,
208, Surya College of Engineering and Technology, Villupuram, , Anna University - Chennai,
209, Syed Ammal Engineering College, Ramnad, , Anna University - Chennai,
210, T.J. Institute of Technology, Chennai, , Anna University - Chennai,
211, T.J.S. Engineering College, Tiruvallur, , Anna University - Chennai,
212, T.S.M. Jain College of Technology, Villupuram, , Anna University - Chennai,
213, Tagore Engineering College, Chennai, , Anna University - Chennai,
214, Thamirabharani Engineering College, Tirunelveli, , Anna University - Chennai,
215, Thangavelu Engineering College, Chennai, , Anna University - Chennai,
216, Thanthai Periyar Govt. Institute of Technology, Vellore, , Anna University - Chennai,
217, The New Royal College of Engineering and Technology, Kanchipuram, , Anna University - Chennai,
218, Thirumalai Engineering College, Kanchipuram, , Anna University - Chennai,
219, Thiruvalluvar College of Engineering and Technology, Tiruvanamalai, , Anna University - Chennai,
220, Universal College of Engineering and Technology, Tirunelveli, , Anna University - Chennai,
221, University College of Engineering, Kanchipuram, , Anna University - Chennai,
222, University College of Engineering, Tiruvanamalai, , Anna University - Chennai,
223, University College of Engineering, Villupuram, , Anna University - Chennai,
224, University College of Engineering, Villupuram, , Anna University - Chennai,
225, University Departments of Anna University Chennai - ACT Campus, Chennai, , Anna University - Chennai,
226, University Departments of Anna University Chennai - CEG Campus, Chennai, , Anna University - Chennai,
227, University Departments of Anna University Chennai - MIT Campus, Chennai, , Anna University - Chennai,
228, University Departments of Anna University Chennai - SAP Campus, Chennai, , Anna University - Chennai,
229, V.I. Institute of Technology, Kanchipuram, , Anna University - Chennai,
230, V.K.K. Vijayan Engineering College, Kanchipuram, , Anna University - Chennai,
231, V.P.M.M. Engineering College for Women, Virudhunagar, , Anna University - Chennai,
232, V.R.S. College of Engineering and Technology, Villupuram, , Anna University - Chennai,
233, Valliammai Engineering College, Kanchipuram, , Anna University - Chennai,
234, Varuvan Vadivelan Institute of Technology, Dharmapuri, , Anna University - Chennai,
235, Vedhantha Institute Of Technology, Villupuram, , Anna University - Chennai,
236, Vel Tech, Chennai, , Anna University - Chennai,
237, Vel Tech High Tech Dr.Rangarajan Dr.Sakunthala Engineering College, Chennai, , Anna University - Chennai,
238, Vel Tech Multi Tech Dr.Rangarajan Dr.Sakunthala Engineering College, Chennai, , Anna University - Chennai,
239, Velammal Engineering College, Chennai, , Anna University - Chennai,
240, Velammal Institute of Technology, Tiruvallur, , Anna University - Chennai,
241, Vickram College of Engineering, Madurai, , Anna University - Chennai,
242, Vidhya Mandhir Institute of Technology, Erode, , Anna University - Chennai,
243, Vinayaka Mission's Kirupanada Variyar Engineering College, Salem, , Anna University - Chennai,
244, VPV College of Engineering, Theni, , Anna University - Chennai,
245, A.S.L. Pauls College of Engineering and Technology, Coimbatore, , Anna University - Coimbatore
246, A.V.S. Engineering College, Salem, , Anna University - Coimbatore
247, Adhiyamaan College of Engineering, Krishnagiri, , Anna University - Coimbatore
248, Adithya Institute of Technology, Coimbatore, , Anna University - Coimbatore
249, Akshaya College of Engineering & Technology, Coimbatore, , Anna University - Coimbatore
250, Al-Ameen Engineering College, Erode, , Anna University - Coimbatore
251, Angel College of Engineering and Technology, Tirupur, , Anna University - Coimbatore
252, Annai Mathammal Sheela Engineering College, Namakkal, , Anna University - Coimbatore
253, Annaporna Engineering College, Salem, , Anna University - Coimbatore
254, Archana Institute of Technology, Krishnagiri, , Anna University - Coimbatore
255, Bannari Amman Institute of Technology, Erode, , Anna University - Coimbatore
256, Bharathiyar Institute of Engineering for Women, Salem, , Anna University - Coimbatore
257, C.M.S. College of Engineering, Namakkal, , Anna University - Coimbatore
258, C.M.S. College of Engineering, Coimbatore, , Anna University - Coimbatore
259, C.S.I. Engineering College, Nilgiris, , Anna University - Coimbatore
260, Chettinad College of Engineering and Technology, Karur, , Anna University - Coimbatore
261, Christ The King Engineering College, Coimbatore, , Anna University - Coimbatore
262, Coimbatore Institute of Engineering and Technology, Coimbatore, , Anna University - Coimbatore
263, Coimbatore Institute of Technology, Coimbatore, , Anna University - Coimbatore
264, Dr Mahalingam College of Engineering and Technology, Coimbatore, , Anna University - Coimbatore
265, Dr. N.G.P. Institute of Technology, Coimbatore, , Anna University - Coimbatore
266, Dr. Nagarathinam's College of Engineering, Namakkal, , Anna University - Coimbatore
267, Dr. Nalini Institute of Engineering and Technology, Tirupur, , Anna University - Coimbatore
268, Easa College of Engineering and Technology, Coimbatore, , Anna University - Coimbatore
269, Er. Perumal Manimekalai College of Engineering, Krishnagiri, , Anna University - Coimbatore
270, Erode Builder Educational Trust’s Group of Institutions, Tirupur, , Anna University - Coimbatore
271, Erode Sengunthar Engineering College, Erode, , Anna University - Coimbatore
272, Excel College of Architecture & Planning, Namakkal, , Anna University - Coimbatore
273, Excel College of Engineering and Technology, Namakkal, , Anna University - Coimbatore
274, Excel College of Technology, Namakkal, , Anna University - Coimbatore
275, Excel Engineering College, Namakkal, , Anna University - Coimbatore
276, Gnanamani College of Engineering, Namakkal, , Anna University - Coimbatore
277, Gnanamani College of Technology, Namakkal, , Anna University - Coimbatore
278, Government College of Engineering, Krishnagiri, , Anna University - Coimbatore
279, Government College of Engineering, Salem, , Anna University - Coimbatore
280, Government College of Technology, Coimbatore, , Anna University - Coimbatore
281, Greentech College of Engineering for Women, Salem, , Anna University - Coimbatore
282, Hindustan Institute of Technology, Coimbatore, , Anna University - Coimbatore
283, Hindusthan College of Engineering and Technology, Coimbatore, , Anna University - Coimbatore
284, Indus College of Engineering, Coimbatore, , Anna University - Coimbatore
285, Info Institute of Engineering, Coimbatore, , Anna University - Coimbatore
286, Institute of Road and Transport Technology, Erode, , Anna University - Coimbatore
287, J.C.T. College of Engineering and Technology, Coimbatore, , Anna University - Coimbatore
288, J.K.K. Muniraja College of Technology, Erode, , Anna University - Coimbatore
289, J.K.K. Nataraja College of Engineering and Technology, Namakkal, , Anna University - Coimbatore
290, Jai Sriram College of Technology, Tirupur, , Anna University - Coimbatore
291, Jansons Institute of Engineering and Technology, Coimbatore, , Anna University - Coimbatore
292, Jawaharlal Institute of Technology, Coimbatore, , Anna University - Coimbatore
293, Jayalakshmi Institute of Technology, Dharmapuri, , Anna University - Coimbatore
294, Jayam College of Engineering and Technology, Dharmapuri, , Anna University - Coimbatore
295, K.G.I.S.L. Institute of Technology, Coimbatore, , Anna University - Coimbatore
296, K.P.R. Institute of Engineering and Technology, Coimbatore, , Anna University - Coimbatore
297, Kalaignar Karunanidhi Institute of Technology, Coimbatore, , Anna University - Coimbatore
298, Kalaivani College of Technology, Coimbatore, , Anna University - Coimbatore
299, Karpagam College of Engineering, Coimbatore, , Anna University - Coimbatore
300, Karpagam Institute of Technology, Coimbatore, , Anna University - Coimbatore
301, Karur College of Engineering, Karur, , Anna University - Coimbatore
302, Kathir College of Engineering, Coimbatore, , Anna University - Coimbatore
303, King College of Technology, Namakkal, , Anna University - Coimbatore
304, Knowledge Institute of Technology, Salem, , Anna University - Coimbatore
305, Kongu Engineering College, Erode, , Anna University - Coimbatore
306, KTVR Knowledge Park for Engineering and Technology, Coimbatore, , Anna University - Coimbatore
307, Kumaraguru College of Technology, Coimbatore, , Anna University - Coimbatore
308, M. Kumarasamy College of Engineering, Karur, , Anna University - Coimbatore
309, M.P.Nachimuthu M.Jaganathan Engineering College, Erode, , Anna University - Coimbatore
310, Maha College of Engineering, Salem, , Anna University - Coimbatore
311, Maharaja Engineering College, Coimbatore, , Anna University - Coimbatore
312, Maharaja Engineering College for Women, Erode, , Anna University - Coimbatore
313, Maharaja Institute of Technology, Coimbatore, , Anna University - Coimbatore
314, Maharaja Prithvi Engineering College, Coimbatore, , Anna University - Coimbatore
315, Mahendra Engineering College, Namakkal, , Anna University - Coimbatore
316, Mahendra Engineering College for Women, Namakkal, , Anna University - Coimbatore
317, Mahendra Institute of Engineering and Technology, Namakkal, , Anna University - Coimbatore
318, Mahendra Institute of Technology, Namakkal, , Anna University - Coimbatore
319, McGan's Ooty School of Architecture, Nilgiris, , Anna University - Coimbatore
320, Muthayammal Engineering College, Namakkal, , Anna University - Coimbatore
321, Nandha College of Technology, Erode, , Anna University - Coimbatore
322, Nandha Engineering College, Erode, , Anna University - Coimbatore
323, Narasu's Sarathy Institute of Technology, Salem, , Anna University - Coimbatore
324, Nehru Institute of Engineering and Technology, Coimbatore, , Anna University - Coimbatore
325, P.A. College of Engineering and Technology, Coimbatore, , Anna University - Coimbatore
326, P.G.P. College of Engineering and Technology, Namakkal, , Anna University - Coimbatore
327, P.P.G. Institute of Technology, Coimbatore, , Anna University - Coimbatore
328, P.S.G. College of Technology, Coimbatore, , Anna University - Coimbatore
329, P.S.V. College of Engineering and Technology, Krishnagiri, , Anna University - Coimbatore
330, Paavaai Group of Institutions, Namakkal, , Anna University - Coimbatore
331, Paavai College of Engineering, Namakkal, , Anna University - Coimbatore
332, Paavai Engineering College, Namakkal, , Anna University - Coimbatore
333, Park College of Engineering Technology, Coimbatore, , Anna University - Coimbatore
334, Park College of Technology, Coimbatore, , Anna University - Coimbatore
335, Pavai College of Technology, Namakkal, , Anna University - Coimbatore
336, Professional Educational Trust's Group of Institutions, Tirupur, , Anna University - Coimbatore
337, R.V.S. College Of Engineering and Technology, Coimbatore, , Anna University - Coimbatore
338, R.V.S. College of Engineering and Technology (Faculty of Engineering), Coimbatore, , Anna University - Coimbatore
339, R.V.S. Faculty of Engineering, Coimbatore, , Anna University - Coimbatore
340, Rabidhranath Tagore College of Engineering for Women, Salem, , Anna University - Coimbatore
341, Ranganathan Engineering College, Coimbatore, , Anna University - Coimbatore
342, Rathinam Technical Campus, Coimbatore, , Anna University - Coimbatore
343, S.N.S. College of Engineering, Coimbatore, , Anna University - Coimbatore
344, S.N.S. College of Technology, Coimbatore, , Anna University - Coimbatore
345, S.R.G. Engineering College, Namakkal, , Anna University - Coimbatore
346, S.R.S. College of Engineering & Technology, Salem, , Anna University - Coimbatore
347, S.S.K. College of Engineering and Technology, Coimbatore, , Anna University - Coimbatore
348, S.V.S. College of Engineering, Coimbatore, , Anna University - Coimbatore
349, Salem College of Engineering and Technology, Salem, , Anna University - Coimbatore
350, Sapthagiri College of Engineering, Dharmapuri, , Anna University - Coimbatore
351, Sasurie Academy of Engineering, Coimbatore, , Anna University - Coimbatore
352, Sasurie College of Engineering, Erode, , Anna University - Coimbatore
353, Selvam College of Technology, Namakkal, , Anna University - Coimbatore
354, Sengunthar College of Engineering For Women, Namakkal, , Anna University - Coimbatore
355, Sengunthar Engineering College, Namakkal, , Anna University - Coimbatore
356, Shree Venkateshwara Hi-Tech Engineering College, Erode, , Anna University - Coimbatore
357, Shreenivasa Engineering College, Dharmapuri, , Anna University - Coimbatore
358, Sree Sakthi Engineering College, Coimbatore, , Anna University - Coimbatore
359, Sri Eshwar College of Engineering, Coimbatore, , Anna University - Coimbatore
360, Sri Krishna College of Engineering and Technology, Coimbatore, , Anna University - Coimbatore
361, Sri Ramakrishna Engineering College, Coimbatore, , Anna University - Coimbatore
362, Sri Ramakrishna Institute of Technology, Coimbatore, , Anna University - Coimbatore
363, Sri Ramanathan Engineering College, Erode, , Anna University - Coimbatore
364, Sri Shakthi Institute Of Engineering & Technology, Coimbatore, , Anna University - Coimbatore
365, Sri Shakthi Institute of Engineering and Technology, Coimbatore, , Anna University - Coimbatore
366, Sriguru Institute of Technology, Coimbatore, , Anna University - Coimbatore
367, Surya Engineering College, Erode, , Anna University - Coimbatore
368, Tagore Institute of Engineering and Technology, Salem, , Anna University - Coimbatore
369, Tamilnadu College of Engineering, Coimbatore, , Anna University - Coimbatore
370, Tamilnadu School of Architecture, Coimbatore, , Anna University - Coimbatore
371, Tejaa Shakthi Institute of Technology for Women, Coimbatore, , Anna University - Coimbatore
372, The Kavery College of Engineering, Salem, , Anna University - Coimbatore
373, The Kavery Engineering College, Salem, , Anna University - Coimbatore
374, United Institute of Technology, Coimbatore, , Anna University - Coimbatore
375, V.K.S. College of Engineering and Technology, Karur, , Anna University - Coimbatore
376, V.L.B. Janaki Ammal College of Engineering and Technology, Coimbatore, , Anna University - Coimbatore
377, V.S.A. Educational and Charitable Trust’s Group of Institutions, Salem, , Anna University - Coimbatore
378, V.S.B. Engineering College, Karur, , Anna University - Coimbatore
379, Velalar College of Engineering and Technology, Erode, , Anna University - Coimbatore
380, Vidhya Vikkas College of Engineering and Technology, Namakkal, , Anna University - Coimbatore
381, Vivekanadha College of Engineering for Women, Namakkal, , Anna University - Coimbatore
382, Vivekanandha College of Technology for Women, Namakkal, , Anna University - Coimbatore
383, Annai Vailankanni College of Engineering, Kanyakumari, , Anna University - Tirunelveli
384, Arunachala College of Engineering for Women, Kanyakumari, , Anna University - Tirunelveli
385, Bethlahem Institute of Engineering, Kanyakumari, , Anna University - Tirunelveli
